Maximum CNC 25 LB,"-0.09207",N
Time at Maximum CNC 25 LB,"0.00000",s
Extension at Maximum CNC 25 LB,"-0.00254",mm
Rate 1,"0.14700",mm/s
Start date,"9/14/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"0.00000","-0.00254","-0.09207"
"0.02500","-0.00254","-0.09423"
"0.05000","-0.00254","-0.09776"
"0.07500","-0.00254","-0.11081"
"0.10000","-0.00254","-0.15242"
"0.12500","-0.00254","-0.22933"
"0.15000","-0.00246","-0.34697"
"0.17500","-0.00153","-0.50591"
"0.20000","0.00108","-0.68861"
"0.22500","0.00538","-0.88065"
"0.25000","0.01010","-1.06767"
"0.27500","0.01466","-1.24872"
"0.30000","0.01902","-1.42546"
"0.32500","0.02323","-1.60082"
"0.35000","0.02740","-1.77636"
"0.37500","0.03164","-1.94964"
"0.40000","0.03590","-2.12304"
"0.42500","0.04009","-2.29506"
"0.45000","0.04416","-2.46582"
"0.47500","0.04825","-2.63686"
"0.50000","0.05253","-2.80692"
"0.52500","0.05679","-2.97493"
"0.55000","0.06101","-3.14199"
"0.57500","0.06502","-3.30780"
"0.60000","0.06899","-3.47394"
"0.62500","0.07304","-3.63927"
"0.65000","0.07716","-3.80488"
"0.67500","0.08129","-3.96863"
"0.70000","0.08533","-4.13307"
"0.72500","0.08933","-4.29623"
"0.75000","0.09335","-4.45866"
"0.77500","0.09736","-4.62084"
"0.80000","0.10137","-4.78160"
"0.82500","0.10537","-4.94101"
"0.85000","0.10934","-5.10025"
"0.87500","0.11337","-5.25916"
"0.90000","0.11740","-5.41530"
"0.92500","0.12138","-5.57038"
"0.95000","0.12530","-5.72527"
"0.97500","0.12917","-5.87648"
"1.00000","0.13317","-6.02988"
"1.02500","0.13715","-6.18079"
"1.05000","0.14111","-6.32954"
"1.07500","0.14493","-6.47816"
"1.10000","0.14873","-6.62496"
"1.12500","0.15267","-6.77129"
"1.15000","0.15661","-6.91440"
"1.17500","0.16054","-7.05706"
"1.20000","0.16440","-7.19571"
"1.22500","0.16820","-7.33451"
"1.25000","0.17201","-7.47254"
"1.27500","0.17585","-7.60802"
"1.30000","0.17976","-7.74152"
"1.32500","0.18364","-7.87239"
"1.35000","0.18743","-8.00171"
"1.37500","0.19122","-8.12991"
"1.40000","0.19508","-8.25597"
"1.42500","0.19898","-8.37814"
"1.45000","0.20283","-8.49700"
"1.47500","0.20656","-8.61261"
"1.50000","0.21031","-8.72645"
"1.52500","0.21414","-8.83663"
"1.55000","0.21799","-8.94422"
"1.57500","0.22187","-9.04179"
"1.60000","0.22567","-9.13638"
"1.62500","0.22939","-9.22674"
"1.65000","0.23308","-9.31411"
"1.67500","0.23686","-9.40062"
"1.70000","0.24073","-9.48685"
"1.72500","0.24461","-9.56915"
"1.75000","0.24835","-9.64246"
"1.77500","0.25199","-9.70822"
"1.80000","0.25574","-9.76531"
"1.82500","0.25953","-9.81651"
"1.85000","0.26336","-9.85827"
"1.87500","0.26707","-9.89751"
"1.90000","0.27076","-9.93367"
"1.92500","0.27455","-9.97037"
"1.95000","0.27834","-10.01086"
"1.97500","0.28215","-10.04601"
"2.00000","0.28588","-10.08317"
"2.02500","0.28955","-10.11588"
"2.05000","0.29323","-10.15348"
"2.07500","0.29702","-10.18938"
"2.10000","0.30087","-10.23039"
"2.12500","0.30462","-10.26445"
"2.15000","0.30831","-10.30041"
"2.17500","0.31196","-10.33527"
"2.20000","0.31576","-10.37412"
"2.22500","0.31957","-10.41095"
"2.25000","0.32333","-10.45005"
"2.27500","0.32705","-10.48312"
"2.30000","0.33069","-10.51991"
"2.32500","0.33436","-10.55340"
"2.35000","0.33809","-10.59129"
"2.37500","0.34191","-10.62730"
"2.40000","0.34567","-10.66621"
"2.42500","0.34932","-10.70113"
"2.45000","0.35295","-10.73577"
