Maximum CNC 25 LB,3.75536,N,
Time at Maximum CNC 25 LB,15.975,s,
Extension at Maximum CNC 25 LB,23.4379,mm,
Rate 1,1.469,mm/s,
Start date,9/12/2021,,
Specimen label,,,
,,,
Time,Extension,CNC 25 LB,
(s),(mm),(N),
0,0.00127,0.19245,-0.19245
0.025,0.00127,0.18992,-0.18992
0.05,0.00219,0.13912,-0.13912
0.075,0.01068,0.00112,-0.00112
0.1,0.02688,-0.19463,0.19463
0.125,0.0487,-0.44969,0.44969
0.15,0.07493,-0.75015,0.75015
0.175,0.10393,-1.08471,1.08471
0.2,0.13539,-1.3954,1.3954
0.225,0.16863,-1.72724,1.72724
0.25,0.20307,-2.05686,2.05686
0.275,0.2386,-2.40499,2.40499
0.3,0.27524,-2.75763,2.75763
0.325,0.31339,-3.13355,3.13355
0.35,0.35151,-3.49055,3.49055
0.375,0.38961,-3.8486,3.8486
0.4,0.42803,-4.20726,4.20726
0.425,0.46679,-4.56146,4.56146
0.45,0.50579,-4.9176,4.9176
0.475,0.54493,-5.26479,5.26479
0.5,0.58432,-5.62503,5.62503
0.525,0.62386,-5.97492,5.97492
0.55,0.66356,-6.33503,6.33503
0.575,0.70386,-6.67801,6.67801
0.6,0.74369,-7.02397,7.02397
0.625,0.78326,-7.352,7.352
0.65,0.8229,-7.6782,7.6782
0.675,0.86269,-8.00644,8.00644
0.7,0.9025,-8.36196,8.36196
0.725,0.94235,-8.67961,8.67961
0.75,0.98208,-8.98958,8.98958
0.775,1.02169,-9.27994,9.27994
0.8,1.06124,-9.53936,9.53936
0.825,1.10119,-9.78327,9.78327
0.85,1.14074,-10.03599,10.03599
0.875,1.17974,-10.31782,10.31782
0.9,1.2188,-10.59031,10.59031
0.925,1.25796,-10.84343,10.84343
0.95,1.29712,-11.10504,11.10504
0.975,1.33627,-11.3406,11.3406
1,1.37545,-11.43561,11.43561
1.025,1.41465,-11.36473,11.36473
1.05,1.45376,-11.32695,11.32695
1.075,1.49289,-11.41713,11.41713
1.1,1.5321,-11.60696,11.60696
1.125,1.5712,-11.84367,11.84367
1.15,1.61012,-12.07851,12.07851
1.175,1.64889,-12.24069,12.24069
1.2,1.68755,-12.33779,12.33779
1.225,1.72628,-12.43267,12.43267
1.25,1.76528,-12.50169,12.50169
1.275,1.80404,-12.54362,12.54362
1.3,1.84235,-12.73416,12.73416
1.325,1.8807,-12.98478,12.98478
1.35,1.91921,-13.36347,13.36347
1.375,1.95752,-13.67176,13.67176
1.4,1.99586,-13.93744,13.93744
1.425,2.03426,-14.25453,14.25453
1.45,2.07288,-14.54567,14.54567
1.475,2.11177,-14.8097,14.8097
1.5,2.14975,-15.09677,15.09677
1.525,2.18729,-15.35242,15.35242
1.55,2.22481,-15.63184,15.63184
1.575,2.26223,-15.96206,15.96206
1.6,2.29956,-16.25163,16.25163
1.625,2.33678,-16.53524,16.53524
1.65,2.37383,-16.82894,16.82894
1.675,2.41087,-17.10262,17.10262
1.7,2.44801,-17.39359,17.39359
1.725,2.48558,-17.66595,17.66595
1.75,2.52338,-17.94008,17.94008
1.775,2.56027,-18.21135,18.21135
