Rate 1,"1.60000",mm/s
Start date,"9/27/2021"
Specimen label,""

Time,Extension,2 kg Beam Load Cell
(s),(mm),(N)
"0.00000","0.00127","-0.00050"
"0.02500","0.00127","0.00002"
"0.05000","0.00335","0.00134"
"0.07500","0.01369","0.00155"
"0.10000","0.03120","0.00228"
"0.12500","0.05428","0.00344"
"0.15000","0.08213","0.00457"
"0.17500","0.11345","0.00557"
"0.20000","0.14712","0.00729"
"0.22500","0.18271","0.00925"
"0.25000","0.21992","0.01079"
"0.27500","0.25838","0.01295"
"0.30000","0.29797","0.01484"
"0.32500","0.33869","0.01648"
"0.35000","0.38009","0.01879"
"0.37500","0.42198","0.02096"
"0.40000","0.46469","0.02293"
"0.42500","0.50699","0.02486"
"0.45000","0.54903","0.02736"
"0.47500","0.59121","0.02937"
"0.50000","0.63384","0.03147"
"0.52500","0.67661","0.03372"
"0.55000","0.71941","0.03571"
"0.57500","0.76234","0.03820"
"0.60000","0.80529","0.04048"
"0.62500","0.84826","0.04263"
"0.65000","0.89160","0.04461"
"0.67500","0.93456","0.04673"
"0.70000","0.97758","0.04924"
"0.72500","1.02072","0.05122"
"0.75000","1.06381","0.05386"
"0.77500","1.10685","0.05577"
"0.80000","1.14952","0.05792"
"0.82500","1.19219","0.06050"
"0.85000","1.23484","0.06247"
"0.87500","1.27750","0.06497"
"0.90000","1.32026","0.06706"
"0.92500","1.36336","0.06921"
"0.95000","1.40605","0.07169"
"0.97500","1.44837","0.07424"
"1.00000","1.49074","0.07645"
"1.02500","1.53331","0.07849"
"1.05000","1.57598","0.08122"
"1.07500","1.61863","0.08332"
"1.10000","1.66128","0.08532"
"1.12500","1.70378","0.08750"
"1.15000","1.74592","0.09062"
"1.17500","1.78793","0.09241"
"1.20000","1.83002","0.09577"
"1.22500","1.87210","0.09716"
"1.25000","1.91409","0.09954"
"1.27500","1.95664","0.10189"
"1.30000","1.99897","0.10439"
"1.32500","2.04064","0.10678"
"1.35000","2.08234","0.10905"
"1.37500","2.12477","0.11174"
"1.40000","2.16753","0.11379"
"1.42500","2.21001","0.11672"
"1.45000","2.25226","0.11912"
"1.47500","2.29450","0.12130"
"1.50000","2.33667","0.12362"
"1.52500","2.37882","0.12595"
"1.55000","2.42067","0.12845"
"1.57500","2.46233","0.13117"
"1.60000","2.50395","0.13385"
"1.62500","2.54550","0.13611"
"1.65000","2.58704","0.13864"
"1.67500","2.62854","0.14098"
"1.70000","2.67005","0.14321"
"1.72500","2.71157","0.14592"
"1.75000","2.75305","0.14853"
"1.77500","2.79513","0.15105"
"1.80000","2.83667","0.15338"
"1.82500","2.87745","0.15586"
"1.85000","2.91799","0.15832"
"1.87500","2.95843","0.16086"
"1.90000","2.99876","0.16345"
"1.92500","3.03899","0.16568"
"1.95000","3.07906","0.16838"
"1.97500","3.11907","0.17080"
"2.00000","3.15906","0.17320"
"2.02500","3.19906","0.17587"
"2.05000","3.23912","0.17844"
"2.07500","3.27916","0.18074"
"2.10000","3.31918","0.18325"
"2.12500","3.35938","0.18572"
"2.15000","3.40000","0.18814"
"2.17500","3.44037","0.19085"
"2.20000","3.48044","0.19347"
"2.22500","3.52049","0.19588"
"2.25000","3.56055","0.19831"
"2.27500","3.60083","0.20105"
"2.30000","3.64108","0.20349"
"2.32500","3.68169","0.20598"
"2.35000","3.72197","0.20887"
"2.37500","3.76178","0.21130"
"2.40000","3.80158","0.21382"
"2.42500","3.84162","0.21667"
"2.45000","3.88185","0.21911"
"2.47500","3.92167","0.22148"
"2.50000","3.96142","0.22439"
"2.52500","4.00143","0.22660"
"2.55000","4.04172","0.22912"
"2.57500","4.08200","0.23182"
"2.60000","4.12226","0.23441"
"2.62500","4.16246","0.23716"
"2.65000","4.20272","0.23957"
"2.67500","4.24292","0.24210"
"2.70000","4.28301","0.24474"
"2.72500","4.32303","0.24759"
"2.75000","4.36312","0.25016"
"2.77500","4.40421","0.25264"
"2.80000","4.44467","0.25550"
"2.82500","4.48437","0.25808"
"2.85000","4.52404","0.26078"
"2.87500","4.56382","0.26363"
"2.90000","4.60376","0.26608"
"2.92500","4.64399","0.26886"
"2.95000","4.68426","0.27119"
"2.97500","4.72436","0.27424"
"3.00000","4.76454","0.27660"
"3.02500","4.80470","0.27972"
"3.05000","4.84491","0.28207"
"3.07500","4.88507","0.28445"
"3.10000","4.92520","0.28775"
"3.12500","4.96548","0.29006"
"3.15000","5.00575","0.29315"
"3.17500","5.04619","0.29567"
"3.20000","5.08619","0.29870"
"3.22500","5.12583","0.30144"
"3.25000","5.16546","0.30419"
"3.27500","5.20525","0.30689"
"3.30000","5.24520","0.30959"
"3.32500","5.28537","0.31261"
"3.35000","5.32617","0.31568"
"3.37500","5.36637","0.31815"
"3.40000","5.40614","0.32141"
"3.42500","5.44603","0.32405"
"3.45000","5.48613","0.32689"
"3.47500","5.52637","0.32990"
"3.50000","5.56646","0.33272"
"3.52500","5.60640","0.33567"
"3.55000","5.64625","0.33843"
"3.57500","5.68610","0.34184"
"3.60000","5.72591","0.34461"
"3.62500","5.76578","0.34733"
"3.65000","5.80578","0.35072"
"3.67500","5.84580","0.35321"
"3.70000","5.88594","0.35659"
"3.72500","5.92686","0.35921"
"3.75000","5.96735","0.36243"
