Maximum CNC 25 LB,"1.16902",N
Time at Maximum CNC 25 LB,"71.88900",s
Extension at Maximum CNC 25 LB,"10.52107",mm
Rate 1,"0.14640",mm/s
Start date,"9/16/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"0.00000","0.00000","0.02963"
"0.02500","0.00000","0.03365"
"0.05000","0.00000","0.02795"
"0.07500","0.00000","0.02605"
"0.10000","0.00000","0.01872"
"0.12500","0.00019","0.00154"
"0.15000","0.00104","-0.02202"
"0.17500","0.00353","-0.05071"
"0.20000","0.00768","-0.07814"
"0.22500","0.01160","-0.10561"
"0.25000","0.01536","-0.13441"
"0.27500","0.01915","-0.16323"
"0.30000","0.02294","-0.19367"
"0.32500","0.02673","-0.22046"
"0.35000","0.03062","-0.24703"
"0.37500","0.03464","-0.27711"
"0.40000","0.03873","-0.30769"
"0.42500","0.04275","-0.33578"
"0.45000","0.04674","-0.36639"
"0.47500","0.05080","-0.39079"
"0.50000","0.05494","-0.42018"
"0.52500","0.05906","-0.44978"
"0.55000","0.06308","-0.47546"
"0.57500","0.06711","-0.50364"
"0.60000","0.07118","-0.52753"
"0.62500","0.07534","-0.55815"
"0.65000","0.07948","-0.58595"
"0.67500","0.08351","-0.61284"
"0.70000","0.08747","-0.63654"
"0.72500","0.09147","-0.66010"
"0.75000","0.09554","-0.69075"
"0.77500","0.09957","-0.71321"
"0.80000","0.10354","-0.74121"
"0.82500","0.10751","-0.76423"
"0.85000","0.11158","-0.79547"
"0.87500","0.11572","-0.82367"
"0.90000","0.11968","-0.84430"
"0.92500","0.12347","-0.86828"
"0.95000","0.12723","-0.88134"
"0.97500","0.13117","-0.91226"
"1.00000","0.13525","-0.94281"
"1.02500","0.13929","-0.96961"
"1.05000","0.14314","-0.99461"
"1.07500","0.14685","-1.01122"
"1.10000","0.15070","-1.03427"
"1.12500","0.15461","-1.05804"
"1.15000","0.15854","-1.08426"
"1.17500","0.16238","-1.10619"
"1.20000","0.16620","-1.12970"
"1.22500","0.17010","-1.15874"
"1.25000","0.17397","-1.18029"
"1.27500","0.17783","-1.20177"
"1.30000","0.18161","-1.22173"
"1.32500","0.18530","-1.24028"
"1.35000","0.18910","-1.26934"
"1.37500","0.19298","-1.29242"
"1.40000","0.19691","-1.31821"
"1.42500","0.20074","-1.33777"
"1.45000","0.20442","-1.35859"
"1.47500","0.20814","-1.38378"
"1.50000","0.21194","-1.40080"
"1.52500","0.21574","-1.42738"
"1.55000","0.21956","-1.44647"
"1.57500","0.22335","-1.46728"
"1.60000","0.22714","-1.49627"
"1.62500","0.23092","-1.51472"
"1.65000","0.23466","-1.53758"
"1.67500","0.23844","-1.55584"
"1.70000","0.24220","-1.57466"
"1.72500","0.24595","-1.60109"
"1.75000","0.24968","-1.62058"
"1.77500","0.25349","-1.64756"
"1.80000","0.25729","-1.66440"
"1.82500","0.26104","-1.68226"
"1.85000","0.26475","-1.70945"
"1.87500","0.26844","-1.72478"
"1.90000","0.27224","-1.75144"
"1.92500","0.27603","-1.77224"
"1.95000","0.27980","-1.79043"
"1.97500","0.28355","-1.81407"
"2.00000","0.28720","-1.83074"
"2.02500","0.29090","-1.85499"
"2.05000","0.29465","-1.87292"
"2.07500","0.29846","-1.89838"
"2.10000","0.30228","-1.92057"
"2.12500","0.30593","-1.93821"
"2.15000","0.30958","-1.96456"
"2.17500","0.31330","-1.97684"
"2.20000","0.31704","-2.00491"
"2.22500","0.32077","-2.02314"
"2.25000","0.32447","-2.04444"
"2.27500","0.32815","-2.06692"
"2.30000","0.33181","-2.08340"
"2.32500","0.33554","-2.10928"
"2.35000","0.33934","-2.12629"
"2.37500","0.34308","-2.14775"
"2.40000","0.34674","-2.16981"
"2.42500","0.35035","-2.18566"
"2.45000","0.35408","-2.21321"
"2.47500","0.35783","-2.23066"
"2.50000","0.36156","-2.25017"
"2.52500","0.36526","-2.27197"
"2.55000","0.36888","-2.28742"
"2.57500","0.37257","-2.31230"
"2.60000","0.37627","-2.32953"
"2.62500","0.38005","-2.35406"
"2.65000","0.38378","-2.36994"
"2.67500","0.38737","-2.38950"
"2.70000","0.39095","-2.41157"
"2.72500","0.39466","-2.42857"
"2.75000","0.39838","-2.45168"
"2.77500","0.40205","-2.46951"
"2.80000","0.40571","-2.48927"
"2.82500","0.40936","-2.50922"
"2.85000","0.41304","-2.53103"
"2.87500","0.41673","-2.55045"
"2.90000","0.42045","-2.56885"
"2.92500","0.42413","-2.58971"
"2.95000","0.42776","-2.60560"
"2.97500","0.43135","-2.62795"
"3.00000","0.43506","-2.65000"
"3.02500","0.43875","-2.66677"
"3.05000","0.44245","-2.68651"
"3.07500","0.44613","-2.70584"
"3.10000","0.44980","-2.72664"
"3.12500","0.45345","-2.74661"
"3.15000","0.45712","-2.76655"
"3.17500","0.46086","-2.78407"
"3.20000","0.46454","-2.80178"
"3.22500","0.46815","-2.82372"
"3.25000","0.47176","-2.84286"
"3.27500","0.47546","-2.86192"
"3.30000","0.47913","-2.88184"
"3.32500","0.48285","-2.89945"
"3.35000","0.48658","-2.91956"
"3.37500","0.49019","-2.93839"
"3.40000","0.49378","-2.95812"
"3.42500","0.49745","-2.97503"
"3.45000","0.50119","-2.99437"
"3.47500","0.50489","-3.01703"
"3.50000","0.50853","-3.03205"
"3.52500","0.51214","-3.05300"
"3.55000","0.51581","-3.07096"
"3.57500","0.51948","-3.08956"
"3.60000","0.52320","-3.10997"
"3.62500","0.52687","-3.12862"
"3.65000","0.53047","-3.14530"
"3.67500","0.53405","-3.16434"
"3.70000","0.53775","-3.18628"
"3.72500","0.54151","-3.20250"
"3.75000","0.54522","-3.22177"
"3.77500","0.54883","-3.23925"
"3.80000","0.55243","-3.25739"
"3.82500","0.55612","-3.27742"
"3.85000","0.55976","-3.29608"
"3.87500","0.56346","-3.31486"
"3.90000","0.56715","-3.33219"
"3.92500","0.57078","-3.35157"
"3.95000","0.57439","-3.36903"
"3.97500","0.57808","-3.38835"
"4.00000","0.58178","-3.40863"
"4.02500","0.58546","-3.42477"
"4.05000","0.58907","-3.44213"
"4.07500","0.59266","-3.46303"
"4.10000","0.59634","-3.47959"
"4.12500","0.60004","-3.49986"
"4.15000","0.60377","-3.51937"
"4.17500","0.60744","-3.53416"
"4.20000","0.61107","-3.55651"
"4.22500","0.61466","-3.57049"
"4.25000","0.61834","-3.59274"
"4.27500","0.62204","-3.60904"
"4.30000","0.62572","-3.62689"
"4.32500","0.62939","-3.64806"
"4.35000","0.63299","-3.66184"
"4.37500","0.63664","-3.68638"
"4.40000","0.64030","-3.69869"
"4.42500","0.64401","-3.71871"
"4.45000","0.64768","-3.73642"
"4.47500","0.65129","-3.75671"
"4.50000","0.65493","-3.77481"
"4.52500","0.65859","-3.79090"
"4.55000","0.66227","-3.81191"
"4.57500","0.66598","-3.82643"
"4.60000","0.66968","-3.84886"
"4.62500","0.67332","-3.86745"
"4.65000","0.67691","-3.88089"
"4.67500","0.68057","-3.90234"
"4.70000","0.68433","-3.91873"
"4.72500","0.68808","-3.93838"
"4.75000","0.69174","-3.95724"
"4.77500","0.69534","-3.97368"
"4.80000","0.69903","-3.99069"
"4.82500","0.70267","-4.00694"
"4.85000","0.70639","-4.02981"
"4.87500","0.71008","-4.04487"
"4.90000","0.71363","-4.06344"
"4.92500","0.71718","-4.08046"
"4.95000","0.72084","-4.09532"
"4.97500","0.72460","-4.12210"
"5.00000","0.72833","-4.13500"
"5.02500","0.73192","-4.15421"
"5.05000","0.73549","-4.16873"
"5.07500","0.73916","-4.18836"
"5.10000","0.74288","-4.21020"
"5.12500","0.74658","-4.22420"
"5.15000","0.75024","-4.24574"
"5.17500","0.75384","-4.25726"
"5.20000","0.75744","-4.27778"
"5.22500","0.76115","-4.29828"
"5.25000","0.76487","-4.31505"
"5.27500","0.76856","-4.33268"
"5.30000","0.77216","-4.34721"
"5.32500","0.77576","-4.36700"
"5.35000","0.77945","-4.38545"
"5.37500","0.78313","-4.40384"
"5.40000","0.78684","-4.42210"
"5.42500","0.79051","-4.43464"
"5.45000","0.79414","-4.45646"
"5.47500","0.79777","-4.47379"
"5.50000","0.80146","-4.48962"
"5.52500","0.80514","-4.50859"
"5.55000","0.80881","-4.52357"
"5.57500","0.81249","-4.54458"
"5.60000","0.81613","-4.55801"
"5.62500","0.81976","-4.57973"
"5.65000","0.82344","-4.59407"
"5.67500","0.82714","-4.60838"
"5.70000","0.83084","-4.63184"
"5.72500","0.83445","-4.64164"
"5.75000","0.83805","-4.66731"
"5.77500","0.84175","-4.67939"
"5.80000","0.84542","-4.69584"
"5.82500","0.84912","-4.71516"
"5.85000","0.85280","-4.72856"
"5.87500","0.85643","-4.75230"
"5.90000","0.86003","-4.76075"
"5.92500","0.86367","-4.78288"
"5.95000","0.86748","-4.79953"
"5.97500","0.87123","-4.81345"
"6.00000","0.87486","-4.83615"
"6.02500","0.87840","-4.84440"
"6.05000","0.88208","-4.86708"
"6.07500","0.88576","-4.88064"
"6.10000","0.88944","-4.89876"
"6.12500","0.89310","-4.91646"
"6.15000","0.89664","-4.92827"
"6.17500","0.90025","-4.95251"
"6.20000","0.90394","-4.96134"
"6.22500","0.90767","-4.98550"
"6.25000","0.91138","-4.99962"
"6.27500","0.91497","-5.01019"
"6.30000","0.91857","-5.03472"
"6.32500","0.92224","-5.04497"
"6.35000","0.92594","-5.06757"
"6.37500","0.92964","-5.08167"
"6.40000","0.93329","-5.09544"
"6.42500","0.93689","-5.11637"
"6.45000","0.94048","-5.12748"
"6.47500","0.94416","-5.15143"
"6.50000","0.94789","-5.15966"
"6.52500","0.95156","-5.17768"
"6.55000","0.95523","-5.19892"
"6.57500","0.95884","-5.20978"
"6.60000","0.96250","-5.23308"
"6.62500","0.96611","-5.24174"
"6.65000","0.96981","-5.25922"
"6.67500","0.97355","-5.27801"
"6.70000","0.97718","-5.29320"
"6.72500","0.98078","-5.31277"
"6.75000","0.98442","-5.32156"
"6.77500","0.98810","-5.34235"
"6.80000","0.99181","-5.35682"
"6.82500","0.99546","-5.37463"
"6.85000","0.99909","-5.39254"
"6.87500","1.00268","-5.40024"
"6.90000","1.00636","-5.42229"
"6.92500","1.01011","-5.43649"
"6.95000","1.01382","-5.45649"
"6.97500","1.01742","-5.46975"
"7.00000","1.02094","-5.48203"
"7.02500","1.02464","-5.50270"
"7.05000","1.02835","-5.51498"
"7.07500","1.03208","-5.53733"
"7.10000","1.03572","-5.54861"
"7.12500","1.03929","-5.56182"
"7.15000","1.04295","-5.58283"
"7.17500","1.04660","-5.59426"
"7.20000","1.05033","-5.61549"
"7.22500","1.05400","-5.62876"
"7.25000","1.05761","-5.64382"
